                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 0.2823,                0.25142,                0.80132,                0.99915,                      1,                  0.995,                  0.995,                0.17419,                 0.1789,                0.80147,              0.0091189,              0.0091189,              0.0091189
                     91,                0.31119,                0.27215,                 0.8299,                0.99912,                      1,                  0.995,                  0.995,                0.16974,                0.18064,                0.79958,               0.009109,               0.009109,               0.009109
                     92,                0.28406,                0.25874,                 0.8084,                0.99912,                      1,                  0.995,                  0.995,                0.16709,                0.17033,                0.79845,              0.0090991,              0.0090991,              0.0090991
                     93,                0.28552,                0.24661,                0.81316,                0.99912,                      1,                  0.995,                  0.995,                 0.1549,                0.16047,                0.79835,              0.0090892,              0.0090892,              0.0090892
                     94,                0.27499,                0.25069,                  0.819,                 0.9991,                      1,                  0.995,                0.99287,                 0.1659,                0.18066,                0.79987,              0.0090793,              0.0090793,              0.0090793
                     95,                0.29761,                0.26221,                0.83591,                0.99912,                      1,                  0.995,                  0.995,                0.13561,                0.14906,                0.79843,              0.0090694,              0.0090694,              0.0090694
                     96,                0.27319,                0.25277,                0.80964,                0.99911,                      1,                  0.995,                  0.995,                0.15587,                0.17037,                0.80211,              0.0090595,              0.0090595,              0.0090595
                     97,                0.28138,                0.24146,                0.79867,                 0.9991,                      1,                  0.995,                  0.995,                0.13546,                0.15769,                0.79717,              0.0090496,              0.0090496,              0.0090496
                     98,                0.29511,                0.27567,                0.82035,                0.99912,                      1,                  0.995,                0.99423,                0.14774,                0.17307,                0.79517,              0.0090397,              0.0090397,              0.0090397
                     99,                0.30124,                0.26061,                0.79125,                0.99906,                      1,                  0.995,                  0.995,                0.16784,                 0.1843,                0.79838,              0.0090298,              0.0090298,              0.0090298
                    100,                0.27999,                0.24928,                 0.8006,                0.99912,                      1,                  0.995,                0.99385,                0.15508,                0.18527,                0.79888,              0.0090199,              0.0090199,              0.0090199
                    101,                0.27144,                0.24698,                 0.7948,                0.99911,                      1,                  0.995,                  0.995,                 0.1606,                0.16463,                0.80057,                0.00901,                0.00901,                0.00901
                    102,                 0.2779,                0.24738,                 0.7974,                 0.9991,                      1,                  0.995,                0.99313,                0.14745,                0.16367,                0.80073,              0.0090001,              0.0090001,              0.0090001
                    103,                0.26942,                0.23655,                0.82394,                0.99908,                      1,                  0.995,                  0.995,                0.14094,                0.16494,                0.79783,              0.0089902,              0.0089902,              0.0089902
                    104,                0.26384,                0.24031,                0.81306,                0.99914,                      1,                  0.995,                  0.995,                0.15551,                0.17134,                0.79614,              0.0089803,              0.0089803,              0.0089803
                    105,                0.27077,                0.23716,                0.80385,                0.99908,                      1,                  0.995,                  0.995,                0.14707,                0.17906,                0.79539,              0.0089704,              0.0089704,              0.0089704
                    106,                0.27114,                0.24877,                0.78464,                0.99911,                      1,                  0.995,                  0.995,                0.15036,                0.15166,                0.79524,              0.0089605,              0.0089605,              0.0089605
                    107,                0.26529,                0.23806,                0.80268,                0.99909,                      1,                  0.995,                0.99428,                0.14719,                0.15363,                0.79525,              0.0089506,              0.0089506,              0.0089506
                    108,                0.27267,                0.24068,                0.81434,                 0.9991,                      1,                  0.995,                0.99418,                0.14289,                0.15496,                0.79632,              0.0089407,              0.0089407,              0.0089407
                    109,                0.26532,                0.23726,                0.82052,                0.99911,                      1,                  0.995,                  0.995,                0.15079,                0.15698,                0.79958,              0.0089308,              0.0089308,              0.0089308
                    110,                0.27259,                0.23875,                0.82655,                0.99912,                      1,                  0.995,                0.99445,                 0.1796,                0.17813,                0.80168,              0.0089209,              0.0089209,              0.0089209
                    111,                0.27191,                0.24551,                0.82174,                0.99912,                      1,                  0.995,                 0.9944,                0.15352,                0.16348,                0.79636,               0.008911,               0.008911,               0.008911
                    112,                0.26571,                0.24552,                0.79659,                0.99909,                      1,                  0.995,                  0.995,                0.16114,                0.16176,                0.79826,              0.0089011,              0.0089011,              0.0089011
                    113,                0.26818,                0.24941,                0.81029,                 0.9991,                      1,                  0.995,                  0.995,                 0.1657,                0.16008,                0.79904,              0.0088912,              0.0088912,              0.0088912
                    114,                0.26494,                0.23438,                0.82006,                0.99911,                      1,                  0.995,                  0.995,                0.14396,                 0.1632,                0.79558,              0.0088813,              0.0088813,              0.0088813
                    115,                0.26929,                0.24628,                 0.8103,                0.99907,                      1,                  0.995,                  0.995,                0.14044,                 0.1682,                0.79498,              0.0088714,              0.0088714,              0.0088714
                    116,                 0.2634,                0.23046,                0.80328,                0.99912,                      1,                  0.995,                  0.995,                  0.156,                0.16501,                0.79831,              0.0088615,              0.0088615,              0.0088615
                    117,                0.26007,                0.23041,                 0.8052,                0.99912,                      1,                  0.995,                  0.995,                0.13869,                0.15118,                0.79351,              0.0088516,              0.0088516,              0.0088516
                    118,                0.25302,                0.23047,                0.79644,                 0.9991,                      1,                  0.995,                  0.995,                0.15259,                0.16158,                0.79479,              0.0088417,              0.0088417,              0.0088417
                    119,                0.27414,                0.23596,                0.80845,                0.99915,                      1,                  0.995,                  0.995,                0.13791,                0.14411,                 0.7943,              0.0088318,              0.0088318,              0.0088318
                    120,                0.27682,                0.23968,                0.78698,                 0.9991,                      1,                  0.995,                  0.995,                0.15814,                0.17261,                0.79664,              0.0088219,              0.0088219,              0.0088219
                    121,                0.25261,                0.22714,                0.80174,                0.99913,                      1,                  0.995,                  0.995,                0.13105,                0.13554,                0.79519,               0.008812,               0.008812,               0.008812
                    122,                0.25665,                0.22609,                0.81539,                0.99913,                      1,                  0.995,                  0.995,                0.12405,                0.12697,                0.79531,              0.0088021,              0.0088021,              0.0088021
                    123,                0.26388,                0.22096,                 0.7776,                0.99912,                      1,                  0.995,                0.99439,                 0.1369,                0.14674,                0.79607,              0.0087922,              0.0087922,              0.0087922
                    124,                0.26097,                0.22294,                0.81298,                0.99914,                      1,                  0.995,                  0.995,                0.13468,                0.13965,                0.79492,              0.0087823,              0.0087823,              0.0087823
                    125,                0.26253,                0.23498,                0.81709,                 0.9991,                      1,                  0.995,                 0.9937,                0.14978,                0.14565,                0.79687,              0.0087724,              0.0087724,              0.0087724
                    126,                0.25663,                  0.232,                0.80745,                0.99911,                      1,                  0.995,                  0.995,                 0.1457,                0.14921,                0.79716,              0.0087625,              0.0087625,              0.0087625
                    127,                0.25967,                0.22529,                0.82219,                0.99911,                      1,                  0.995,                  0.995,                0.12808,                 0.1388,                0.79517,              0.0087526,              0.0087526,              0.0087526
                    128,                0.25412,                 0.2252,                0.80895,                0.99913,                      1,                  0.995,                0.99293,                0.13991,                0.14617,                0.79554,              0.0087427,              0.0087427,              0.0087427
                    129,                0.23833,                0.21262,                0.79701,                 0.9991,                      1,                  0.995,                  0.995,                0.13182,                0.14965,                0.79498,              0.0087328,              0.0087328,              0.0087328
                    130,                0.25822,                0.22641,                0.80028,                 0.9991,                      1,                  0.995,                  0.995,                0.13729,                0.14035,                0.79557,              0.0087229,              0.0087229,              0.0087229
                    131,                0.26426,                0.23071,                0.81665,                0.99911,                      1,                  0.995,                  0.995,                0.15023,                0.14564,                0.79651,               0.008713,               0.008713,               0.008713
                    132,                 0.2562,                0.22968,                0.80443,                0.99912,                      1,                  0.995,                  0.995,                0.15706,                0.13573,                0.79687,              0.0087031,              0.0087031,              0.0087031
                    133,                0.26523,                0.23421,                0.82105,                0.99911,                      1,                  0.995,                  0.995,                   0.15,                0.15216,                0.79501,              0.0086932,              0.0086932,              0.0086932
                    134,                0.24602,                0.22333,                0.80795,                0.99912,                      1,                  0.995,                  0.995,                0.14964,                0.14792,                 0.7955,              0.0086833,              0.0086833,              0.0086833
                    135,                0.26039,                0.22253,                0.80505,                0.99912,                      1,                  0.995,                  0.995,                0.17387,                0.16282,                0.79983,              0.0086734,              0.0086734,              0.0086734
                    136,                0.24452,                0.21302,                0.79717,                0.99913,                      1,                  0.995,                0.99368,                0.15007,                0.13739,                0.79718,              0.0086635,              0.0086635,              0.0086635
                    137,                0.26437,                0.23107,                0.79902,                 0.9991,                      1,                  0.995,                  0.995,                0.13707,                0.14217,                0.79596,              0.0086536,              0.0086536,              0.0086536
                    138,                0.26155,                 0.2218,                0.80136,                0.99907,                      1,                  0.995,                  0.995,                0.12819,                0.13702,                0.79334,              0.0086437,              0.0086437,              0.0086437
                    139,                0.25073,                0.22474,                0.79194,                0.99909,                      1,                  0.995,                  0.995,                0.13546,                0.13727,                0.79301,              0.0086338,              0.0086338,              0.0086338
                    140,                0.24155,                0.21087,                 0.8098,                0.99912,                      1,                  0.995,                  0.995,                0.14366,                0.13505,                0.79326,              0.0086239,              0.0086239,              0.0086239
                    141,                0.25284,                0.21823,                 0.7897,                 0.9991,                      1,                  0.995,                  0.995,                0.13551,                0.13183,                0.79246,               0.008614,               0.008614,               0.008614
                    142,                0.25836,                0.25783,                0.79515,                0.99911,                      1,                  0.995,                  0.995,                 0.1448,                0.14018,                0.79302,              0.0086041,              0.0086041,              0.0086041
                    143,                0.25915,                0.22055,                0.81155,                0.99913,                      1,                  0.995,                  0.995,                0.12696,                 0.1271,                  0.793,              0.0085942,              0.0085942,              0.0085942
                    144,                0.24279,                  0.214,                0.80013,                0.99908,                      1,                  0.995,                  0.995,                0.13283,                 0.1359,                0.79263,              0.0085843,              0.0085843,              0.0085843
                    145,                0.25051,                0.22101,                  0.819,                0.99912,                      1,                  0.995,                  0.995,                0.12225,                0.13166,                0.79192,              0.0085744,              0.0085744,              0.0085744
                    146,                0.24531,                0.20734,                0.80064,                0.99913,                      1,                  0.995,                0.99451,                0.13104,                0.13216,                0.79294,              0.0085645,              0.0085645,              0.0085645
                    147,                0.24867,                0.21485,                0.77228,                0.99912,                      1,                  0.995,                  0.995,                0.12087,                0.12062,                0.79199,              0.0085546,              0.0085546,              0.0085546
