epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
172,11931.1,0.03876,0.04395,0.75247,1,1,0.995,0.995,0.02631,0.02794,0.74971,0.00397019,0.00397019,0.00397019
173,12001.8,0.03938,0.04448,0.75705,1,1,0.995,0.995,0.02611,0.02775,0.74969,0.00391966,0.00391966,0.00391966
174,12071.8,0.03945,0.04458,0.7544,1,1,0.995,0.995,0.02591,0.02737,0.74971,0.00386926,0.00386926,0.00386926
175,12142.2,0.03856,0.04359,0.75323,1,1,0.995,0.995,0.02593,0.02751,0.74968,0.00381899,0.00381899,0.00381899
176,12212.1,0.03985,0.0461,0.7542,1,1,0.995,0.995,0.02594,0.02727,0.74965,0.00376885,0.00376885,0.00376885
177,12282.2,0.04023,0.04761,0.75295,1,1,0.995,0.995,0.02577,0.02745,0.74962,0.00371885,0.00371885,0.00371885
178,12353.2,0.03846,0.04461,0.75279,1,1,0.995,0.995,0.0255,0.02721,0.74963,0.00366899,0.00366899,0.00366899
179,12423.2,0.03798,0.04396,0.75312,1,1,0.995,0.995,0.02565,0.02712,0.74964,0.00361929,0.00361929,0.00361929
180,12493.2,0.03751,0.04436,0.75294,1,1,0.995,0.995,0.02558,0.02722,0.74961,0.00356975,0.00356975,0.00356975
181,12563.6,0.03948,0.04467,0.753,1,1,0.995,0.995,0.02584,0.02723,0.74959,0.00352037,0.00352037,0.00352037
182,12633.9,0.03872,0.04438,0.75776,1,1,0.995,0.995,0.02581,0.02744,0.74958,0.00347115,0.00347115,0.00347115
183,12703.9,0.03829,0.04416,0.75404,1,1,0.995,0.995,0.02587,0.02761,0.74954,0.00342211,0.00342211,0.00342211
184,12774.3,0.03738,0.04205,0.75671,1,1,0.995,0.995,0.0257,0.02787,0.74951,0.00337325,0.00337325,0.00337325
185,12844.4,0.03972,0.04505,0.75455,1,1,0.995,0.995,0.02567,0.02798,0.7495,0.00332457,0.00332457,0.00332457
186,12914.6,0.03913,0.04511,0.75224,1,1,0.995,0.995,0.02565,0.028,0.74954,0.00327608,0.00327608,0.00327608
187,12985.3,0.03847,0.04533,0.75249,1,1,0.995,0.995,0.02576,0.02804,0.74951,0.00322778,0.00322778,0.00322778
188,13054.9,0.0385,0.0449,0.75458,1,1,0.995,0.995,0.02591,0.028,0.7495,0.00317969,0.00317969,0.00317969
189,13125.4,0.03634,0.04223,0.75343,1,1,0.995,0.995,0.02607,0.02807,0.7495,0.0031318,0.0031318,0.0031318
190,13196.2,0.03696,0.04308,0.75232,1,1,0.995,0.995,0.02614,0.02844,0.74951,0.00308412,0.00308412,0.00308412
191,13266,0.03453,0.04026,0.75528,1,1,0.995,0.995,0.02621,0.02819,0.7495,0.00303665,0.00303665,0.00303665
192,13336.1,0.03531,0.04074,0.75144,0.99996,1,0.995,0.995,0.0262,0.02856,0.74948,0.00298941,0.00298941,0.00298941
193,13406.7,0.03631,0.04248,0.75382,0.99996,1,0.995,0.995,0.02639,0.0287,0.74943,0.00294239,0.00294239,0.00294239
194,13476.5,0.03317,0.03851,0.7547,0.99996,1,0.995,0.995,0.02645,0.02894,0.74941,0.00289561,0.00289561,0.00289561
