epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,2392.83,0.23248,0.16684,0.77374,0.98951,1,0.9947,0.93511,0.40403,0.20138,0.81503,0.00978572,0.00978572,0.00978572
96,2418.35,0.235,0.16643,0.77453,0.99316,1,0.99476,0.9309,0.40223,0.19714,0.81643,0.00978118,0.00978118,0.00978118
97,2443.49,0.23268,0.1637,0.76874,0.99496,1,0.9948,0.93627,0.4005,0.19788,0.81543,0.00977658,0.00977658,0.00977658
98,2468.88,0.24034,0.1734,0.76899,0.99648,1,0.99493,0.93209,0.40345,0.19702,0.8167,0.00977194,0.00977194,0.00977194
99,2494,0.23734,0.16654,0.77497,0.9964,0.99667,0.995,0.93493,0.40222,0.19666,0.81564,0.00976725,0.00976725,0.00976725
100,2519.17,0.23061,0.16351,0.77188,0.99603,1,0.99487,0.93241,0.40925,0.19382,0.81612,0.00976251,0.00976251,0.00976251
101,2544.41,0.23163,0.16508,0.77002,1,0.99967,0.995,0.93654,0.40019,0.19153,0.8161,0.00975773,0.00975773,0.00975773
102,2569.43,0.23256,0.16434,0.77016,0.99729,1,0.995,0.93287,0.40191,0.19444,0.81726,0.0097529,0.0097529,0.0097529
103,2594.46,0.23538,0.16384,0.77138,0.99224,1,0.99463,0.93639,0.40081,0.19162,0.81368,0.00974803,0.00974803,0.00974803
104,2620.01,0.23472,0.16294,0.77038,0.99358,1,0.9948,0.93355,0.40588,0.19555,0.81334,0.0097431,0.0097431,0.0097431
105,2645.4,0.23577,0.16507,0.76765,0.99321,1,0.995,0.93171,0.40824,0.1979,0.81673,0.00973814,0.00973814,0.00973814
106,2670.55,0.22898,0.16022,0.77149,0.99643,1,0.99477,0.9343,0.40172,0.18591,0.81605,0.00973312,0.00973312,0.00973312
107,2695.62,0.22915,0.15937,0.76693,0.99309,1,0.9949,0.93652,0.38734,0.18688,0.81105,0.00972806,0.00972806,0.00972806
108,2720.67,0.22375,0.15698,0.76807,0.99816,1,0.995,0.93496,0.39053,0.1878,0.81273,0.00972296,0.00972296,0.00972296
109,2745.61,0.22779,0.16236,0.76943,0.99643,1,0.9948,0.93683,0.39304,0.19132,0.81509,0.0097178,0.0097178,0.0097178
110,2770.59,0.22494,0.16307,0.76715,0.99964,1,0.995,0.93525,0.40207,0.19157,0.81287,0.0097126,0.0097126,0.0097126
111,2795.35,0.22554,0.16222,0.77051,0.99855,1,0.995,0.93841,0.3941,0.18837,0.81249,0.00970736,0.00970736,0.00970736
112,2820.41,0.22183,0.15952,0.76799,0.99976,1,0.995,0.94027,0.38194,0.18296,0.81175,0.00970207,0.00970207,0.00970207
113,2845.49,0.22348,0.15912,0.76709,0.99931,1,0.995,0.93529,0.39158,0.18398,0.81574,0.00969673,0.00969673,0.00969673
114,2871.06,0.22183,0.15693,0.76305,0.99944,1,0.995,0.93969,0.38824,0.18461,0.8156,0.00969135,0.00969135,0.00969135
115,2896.41,0.23164,0.16454,0.77072,0.9998,1,0.995,0.93425,0.39374,0.18874,0.81475,0.00968592,0.00968592,0.00968592
116,2921.52,0.22661,0.16456,0.76399,0.99928,1,0.995,0.93892,0.38499,0.18543,0.81313,0.00968045,0.00968045,0.00968045
117,2946.42,0.22204,0.15841,0.77015,0.9965,0.99667,0.995,0.93292,0.39856,0.18805,0.81559,0.00967493,0.00967493,0.00967493
118,2971.28,0.21924,0.15776,0.769,0.99923,0.99667,0.995,0.93568,0.39209,0.18226,0.81396,0.00966936,0.00966936,0.00966936
119,2996.21,0.22011,0.15985,0.76459,0.99007,1,0.99477,0.94366,0.38755,0.18437,0.81099,0.00966375,0.00966375,0.00966375
120,3021.11,0.22094,0.15945,0.77126,0.99973,1,0.995,0.93884,0.38889,0.18631,0.81224,0.0096581,0.0096581,0.0096581
121,3045.98,0.21299,0.15685,0.76905,0.99842,1,0.995,0.93359,0.40255,0.18325,0.81611,0.00965239,0.00965239,0.00965239
122,3070.94,0.21778,0.15585,0.76777,0.99838,1,0.995,0.94117,0.39949,0.18194,0.813,0.00964665,0.00964665,0.00964665
123,3096.39,0.21361,0.15315,0.76179,0.99545,1,0.99473,0.93895,0.39645,0.18342,0.81667,0.00964085,0.00964085,0.00964085
124,3121.84,0.2208,0.15903,0.76904,0.99324,1,0.99477,0.93735,0.39372,0.18324,0.81308,0.00963502,0.00963502,0.00963502
125,3147.03,0.21281,0.15625,0.76756,0.99834,1,0.995,0.93988,0.39161,0.18618,0.81288,0.00962913,0.00962913,0.00962913
126,3171.98,0.21531,0.15768,0.76411,0.99647,1,0.995,0.94184,0.39165,0.18476,0.81252,0.0096232,0.0096232,0.0096232
127,3196.95,0.22051,0.15784,0.76949,0.99664,1,0.995,0.93916,0.39087,0.18531,0.81044,0.00961723,0.00961723,0.00961723
128,3221.79,0.2076,0.15298,0.76757,0.99667,1,0.995,0.93948,0.38549,0.17821,0.81093,0.00961121,0.00961121,0.00961121
129,3246.75,0.21049,0.15636,0.76817,0.9965,1,0.995,0.93704,0.3934,0.18803,0.81399,0.00960515,0.00960515,0.00960515
130,3271.62,0.21482,0.1542,0.76587,0.99973,1,0.995,0.93723,0.38937,0.1835,0.80982,0.00959904,0.00959904,0.00959904
131,3296.64,0.21175,0.15325,0.76792,0.99336,0.99797,0.99477,0.9429,0.38415,0.18131,0.81107,0.00959289,0.00959289,0.00959289
132,3321.66,0.20736,0.14937,0.76328,0.98985,1,0.99463,0.94166,0.37919,0.17912,0.81046,0.00958669,0.00958669,0.00958669
133,3347.13,0.2073,0.15307,0.7669,0.99403,1,0.9946,0.93894,0.38091,0.17764,0.81094,0.00958044,0.00958044,0.00958044
134,3372.72,0.20745,0.15485,0.7651,0.99107,1,0.9948,0.94335,0.37563,0.17877,0.81175,0.00957416,0.00957416,0.00957416
135,3397.76,0.20871,0.15351,0.76535,0.99321,1,0.99473,0.94358,0.3829,0.17923,0.81288,0.00956782,0.00956782,0.00956782
136,3422.87,0.21247,0.15784,0.76901,0.99973,1,0.995,0.94245,0.38571,0.17963,0.80984,0.00956145,0.00956145,0.00956145
137,3447.84,0.21011,0.15581,0.7697,0.99981,1,0.995,0.93746,0.38436,0.17447,0.81082,0.00955502,0.00955502,0.00955502
138,3472.69,0.20627,0.15224,0.7694,0.9998,1,0.995,0.94286,0.38341,0.17882,0.8107,0.00954856,0.00954856,0.00954856
139,3497.72,0.20536,0.15552,0.76438,0.99648,1,0.995,0.94061,0.37692,0.17268,0.81003,0.00954205,0.00954205,0.00954205
140,3522.61,0.20493,0.15426,0.76623,0.99335,1,0.99473,0.94188,0.38268,0.17708,0.80992,0.00953549,0.00953549,0.00953549
141,3547.5,0.20029,0.14821,0.76849,0.99419,1,0.99463,0.93989,0.37716,0.17613,0.81028,0.00952889,0.00952889,0.00952889
142,3572.69,0.19813,0.1447,0.76491,0.99658,1,0.99483,0.93981,0.38521,0.17292,0.81163,0.00952225,0.00952225,0.00952225
143,3597.98,0.20216,0.14841,0.76214,0.99297,1,0.99477,0.93885,0.38652,0.18008,0.81196,0.00951556,0.00951556,0.00951556
144,3623.39,0.20401,0.14808,0.75971,0.99338,0.99981,0.99453,0.94162,0.37909,0.17575,0.81073,0.00950883,0.00950883,0.00950883
145,3648.51,0.20052,0.14704,0.76983,0.98975,1,0.9948,0.9386,0.37698,0.17825,0.80876,0.00950206,0.00950206,0.00950206
146,3673.44,0.20247,0.14945,0.76326,0.9866,1,0.99425,0.93863,0.37321,0.17913,0.80954,0.00949524,0.00949524,0.00949524
147,3698.3,0.19993,0.14972,0.76087,0.99316,1,0.99433,0.94361,0.37052,0.17488,0.80944,0.00948837,0.00948837,0.00948837
148,3723.2,0.19276,0.14504,0.76567,0.99623,1,0.9946,0.94606,0.37049,0.17673,0.80979,0.00948147,0.00948147,0.00948147
149,3748.28,0.19904,0.14216,0.76387,0.99277,1,0.99467,0.94647,0.3716,0.17492,0.80923,0.00947452,0.00947452,0.00947452
150,3773.13,0.20197,0.15023,0.76452,0.99337,1,0.99407,0.94493,0.37481,0.17771,0.81072,0.00946752,0.00946752,0.00946752
151,3797.96,0.19929,0.15032,0.7621,0.98974,1,0.9949,0.94459,0.37233,0.17991,0.8107,0.00946048,0.00946048,0.00946048
152,3823.41,0.20335,0.1545,0.76097,0.9932,1,0.99493,0.93981,0.37611,0.17662,0.81163,0.0094534,0.0094534,0.0094534
153,3848.91,0.19376,0.14823,0.75952,0.9965,1,0.9944,0.9401,0.37496,0.17623,0.81006,0.00944628,0.00944628,0.00944628
154,3874.28,0.19272,0.1448,0.76138,0.99317,1,0.99447,0.94075,0.37032,0.1729,0.80892,0.00943911,0.00943911,0.00943911
155,3899.19,0.19289,0.14279,0.76681,0.99372,1,0.99493,0.94244,0.37268,0.17021,0.80901,0.00943189,0.00943189,0.00943189
156,3923.94,0.19009,0.14336,0.76176,0.99635,1,0.995,0.94087,0.37052,0.17219,0.80779,0.00942464,0.00942464,0.00942464
157,3948.78,0.1954,0.14274,0.76231,0.99479,1,0.99497,0.93964,0.3759,0.1719,0.80946,0.00941734,0.00941734,0.00941734
